Name,RealGM ID,Height (inches),Wingspan (inches),Standing Reach (inches),Weight (lbs)
Elijah Bryant ,80581,77,N/A,N/A,210
Paschal Chukwu ,71590,86,90,N/A,228
Jemerrio Jones ,109784,77,N/A,N/A,200
Joel Berry ,41333,72,75.25,92,185
Bogdan Bliznyuk ,80415,77.5,79.5,100,217
Tiwian Kendley ,109451,77,N/A,N/A,190
Ahmed Hill ,52348,77,N/A,N/A,205
Donte Grantham ,80054,80,83,N/A,205
A.J. Davis ,56690,80.5,83.5,104.5,213
Matt Farrell ,80113,72,76,93,174
Erick Neal ,81479,70,N/A,N/A,155
Martin Krampelj ,42158,81,N/A,N/A,220
Andre Spight ,85563,75,N/A,N/A,170
Victor Sanders ,81579,77,N/A,N/A,190
Jacobi Boykins ,80655,78,N/A,N/A,175
Jared Terrell ,42283,74.5,78,97,220
Ahmad Thomas ,80501,75,N/A,N/A,210
Cameron Reynolds ,57079,80,N/A,N/A,225
Matt Mooney ,80968,75,N/A,N/A,210
Brandon Walters ,109390,82,N/A,N/A,250
James Thompson IV,97588,82,N/A,N/A,240
William Lee ,52556,81,84,106.5,208
Reggie Lynch ,57170,82,N/A,N/A,260
Ben Emelogu ,56799,77,N/A,N/A,215
Angel Delgado ,52549,81,84,107,245
Jaron Hopkins ,42400,78,N/A,N/A,210
Ria'n Holland ,57203,72,N/A,N/A,152
Kendall Stephens ,56677,79,N/A,N/A,235
Alan Herndon ,57221,81,N/A,N/A,210
Jeffrey Carroll ,56859,78.25,79.5,102.5,213
Trevon Bluiett ,54848,77.5,78.5,N/A,215
Chris Wray ,81085,80,86,N/A,205
Austin Luke ,57445,75,N/A,N/A,200
Keonta Vernon ,57223,78,N/A,N/A,240
Nuni Omot ,107003,81,N/A,N/A,205
Calvin Hermanson ,57588,78,N/A,N/A,200
Travis Munnings ,97837,78,N/A,N/A,200
Marcus Lee ,41431,82.5,87,107,219
Matt Mobley ,58639,75,78.5,99,177
Muhammad-Ali Abdur-Rahkman ,79865,76,N/A,N/A,190
